Timestamp,X_mG,Y_mG,Z_mG
1775850847.077,-32891.60,-32957.90,-31985.65
1775850847.093,-32891.60,-32957.90,-31985.65
1775850847.109,-32891.60,-32957.90,-31985.65
1775850847.125,-32891.60,-32957.90,-31985.65
1775850847.141,-32891.60,-32957.90,-31985.65
1775850847.173,-32891.60,-32957.90,-31985.65
1775850847.189,-32891.60,-32957.90,-31985.65
1775850847.205,-32891.60,-32957.90,-31985.65
1775850847.237,-32891.60,-32957.90,-31985.65
1775850847.253,-32891.60,-32957.90,-31985.65
1775850847.253,-32891.60,-32957.90,-31985.65
1775850847.288,-32891.60,-32957.90,-31985.65
1775850847.301,-32891.60,-32957.90,-31985.65
1775850847.317,-32891.60,-32957.90,-31985.65
1775850847.349,-32891.60,-32957.90,-31985.65
1775850847.349,-32891.60,-32957.90,-31985.65
1775850847.388,-32891.60,-32957.90,-31985.65
1775850847.397,-32891.60,-32957.90,-31985.65
1775850847.413,-32891.60,-32957.90,-31985.65
1775850847.430,-32891.60,-32957.90,-31985.65
1775850847.462,-32891.60,-32957.90,-31985.65
1775850847.476,-32891.60,-32957.90,-31985.65
1775850847.488,-32891.60,-32957.90,-31985.65
1775850847.492,-32891.60,-32957.90,-31985.65
1775850847.525,-32891.60,-32957.90,-31985.65
1775850847.532,-32891.60,-32957.90,-31985.65
1775850847.558,-32891.60,-32957.90,-31985.65
1775850847.572,-32891.60,-32957.90,-31985.65
1775850847.575,-32891.60,-32957.90,-31985.65
1775850847.604,-32891.60,-32957.90,-31985.65
1775850847.623,-32891.60,-32957.90,-31985.65
1775850847.637,-32891.60,-32957.90,-31985.65
1775850847.651,-32891.60,-32957.90,-31985.65
1775850847.666,-32891.60,-32957.90,-31985.65
1775850847.667,-32891.60,-32957.90,-31985.65
1775850847.702,-32891.60,-32957.90,-31985.65
1775850847.719,-32891.60,-32957.90,-31985.65
1775850847.730,-32891.60,-32957.90,-31985.65
1775850847.746,-32891.60,-32957.90,-31985.65
1775850847.762,-32891.60,-32957.90,-31985.65
1775850847.763,-32891.60,-32957.90,-31985.65
1775850847.794,-32891.60,-32957.90,-31985.65
1775850847.814,-32891.60,-32957.90,-31985.65
1775850847.830,-32891.60,-32957.90,-31985.65
1775850847.853,-32891.60,-32957.90,-31985.65
1775850847.867,-32891.60,-32957.90,-31985.65
1775850847.873,-32891.60,-32957.90,-31985.65
1775850847.899,-32891.60,-32957.90,-31985.65
1775850847.913,-32891.60,-32957.90,-31985.65
1775850847.927,-32891.60,-32957.90,-31985.65
1775850847.937,-32891.60,-32957.90,-31985.65
1775850847.954,-32891.60,-32957.90,-31985.65
1775850847.969,-32891.60,-32957.90,-31985.65
1775850847.984,-32891.60,-32957.90,-31985.65
1775850847.990,-32891.60,-32957.90,-31985.65
1775850848.018,-32891.60,-32957.90,-31985.65
1775850848.021,-32891.60,-32957.90,-31985.65
1775850848.049,-32891.60,-32957.90,-31985.65
1775850848.070,-32891.60,-32957.90,-31985.65
1775850848.083,-32891.60,-32957.90,-31985.65
1775850848.098,-32891.60,-32957.90,-31985.65
1775850848.112,-32891.60,-32957.90,-31985.65
1775850848.113,-32891.60,-32957.90,-31985.65
1775850848.149,-32891.60,-32957.90,-31985.65
1775850848.163,-32891.60,-32957.90,-31985.65
1775850848.177,-32891.60,-32957.90,-31985.65
1775850848.190,-32891.60,-32957.90,-31985.65
1775850848.193,-32891.60,-32957.90,-31985.65
1775850848.227,-32891.60,-32957.90,-31985.65
1775850848.241,-32891.60,-32957.90,-31985.65
1775850848.241,-32891.60,-32957.90,-31985.65
1775850848.277,-32891.60,-32957.90,-31985.65
1775850848.294,-32891.60,-32957.90,-31985.65
1775850848.305,-32891.60,-32957.90,-31985.65
1775850848.321,-32891.60,-32957.90,-31985.65
1775850848.337,-32891.60,-32957.90,-31985.65
1775850848.341,-32891.60,-32957.90,-31985.65
1775850848.370,-32891.60,-32957.90,-31985.65
1775850848.385,-32891.60,-32957.90,-31985.65
1775850848.405,-32891.60,-32957.90,-31985.65
1775850848.419,-32891.60,-32957.90,-31985.65
1775850848.432,-32891.60,-32957.90,-31985.65
1775850848.446,-32891.60,-32957.90,-31985.65
1775850848.450,-32891.60,-32957.90,-31985.65
1775850848.481,-32891.60,-32957.90,-31985.65
1775850848.496,-32891.60,-32957.90,-31985.65
1775850848.496,-32891.60,-32957.90,-31985.65
1775850848.531,-32891.60,-32957.90,-31985.65
1775850848.550,-32891.60,-32957.90,-31985.65
1775850848.560,-32891.60,-32957.90,-31985.65
1775850848.578,-32891.60,-32957.90,-31985.65
1775850848.592,-32891.60,-32957.90,-31985.65
1775850848.596,-32891.60,-32957.90,-31985.65
1775850848.624,-32891.60,-32957.90,-31985.65
1775850848.641,-32891.60,-32957.90,-31985.65
1775850848.658,-32891.60,-32957.90,-31985.65
1775850848.672,-32891.60,-32957.90,-31985.65
1775850848.686,-32891.60,-32957.90,-31985.65
1775850848.691,-32891.60,-32957.90,-31985.65
1775850848.720,-32891.60,-32957.90,-31985.65
1775850848.735,-32891.60,-32957.90,-31985.65
1775850848.749,-32891.60,-32957.90,-31985.65
1775850848.752,-32891.60,-32957.90,-31985.65
1775850848.784,-32891.60,-32957.90,-31985.65
1775850848.795,-32891.60,-32957.90,-31985.65
1775850848.812,-32891.60,-32957.90,-31985.65
1775850848.817,-32891.60,-32957.90,-31985.65
1775850848.832,-32891.60,-32957.90,-31985.65
1775850848.871,-32891.60,-32957.90,-31985.65
1775850848.879,-32891.60,-32957.90,-31985.65
1775850848.897,-32891.60,-32957.90,-31985.65
1775850848.914,-32891.60,-32957.90,-31985.65
1775850848.928,-32891.60,-32957.90,-31985.65
1775850848.943,-32891.60,-32957.90,-31985.65
1775850848.943,-32891.60,-32957.90,-31985.65
1775850848.982,-32891.60,-32957.90,-31985.65
1775850848.997,-32891.60,-32957.90,-31985.65
1775850849.007,-32891.60,-32957.90,-31985.65
1775850849.023,-32891.60,-32957.90,-31985.65
1775850849.039,-32891.60,-32957.90,-31985.65
1775850849.043,-32891.60,-32957.90,-31985.65
1775850849.070,-32891.60,-32957.90,-31985.65
1775850849.087,-32891.60,-32957.90,-31985.65
1775850849.097,-32891.60,-32957.90,-31985.65
1775850849.105,-32891.60,-32957.90,-31985.65
1775850849.132,-32891.60,-32957.90,-31985.65
1775850849.133,-32891.60,-32957.90,-31985.65
1775850849.169,-32891.60,-32957.90,-31985.65
1775850849.183,-32891.60,-32957.90,-31985.65
1775850849.197,-32891.60,-32957.90,-31985.65
1775850849.197,-32891.60,-32957.90,-31985.65
1775850849.234,-32891.60,-32957.90,-31985.65
1775850849.250,-32891.60,-32957.90,-31985.65
1775850849.261,-32891.60,-32957.90,-31985.65
1775850849.277,-32891.60,-32957.90,-31985.65
1775850849.291,-32891.60,-32957.90,-31985.65
1775850849.301,-32891.60,-32957.90,-31985.65
1775850849.321,-32891.60,-32957.90,-31985.65
1775850849.325,-32891.60,-32957.90,-31985.65
1775850849.342,-32891.60,-32957.90,-31985.65
1775850849.379,-32891.60,-32957.90,-31985.65
1775850849.391,-32891.60,-32957.90,-31985.65
1775850849.404,-32891.60,-32957.90,-31985.65
1775850849.421,-32891.60,-32957.90,-31985.65
1775850849.423,-32891.60,-32957.90,-31985.65
1775850849.454,-32891.60,-32957.90,-31985.65
1775850849.470,-32891.60,-32957.90,-31985.65
1775850849.487,-32891.60,-32957.90,-31985.65
1775850849.501,-32891.60,-32957.90,-31985.65
1775850849.516,-32891.60,-32957.90,-31985.65
1775850849.530,-32891.60,-32957.90,-31985.65
1775850849.530,-32891.60,-32957.90,-31985.65
1775850849.565,-32891.60,-32957.90,-31985.65
1775850849.577,-32891.60,-32957.90,-31985.65
1775850849.596,-32891.60,-32957.90,-31985.65
1775850849.610,-32891.60,-32957.90,-31985.65
1775850849.625,-32891.60,-32957.90,-31985.65
1775850849.630,-32891.60,-32957.90,-31985.65
1775850849.657,-32891.60,-32957.90,-31985.65
1775850849.675,-32891.60,-32957.90,-31985.65
1775850849.689,-32891.60,-32957.90,-31985.65
1775850849.693,-32891.60,-32957.90,-31985.65
1775850849.722,-32891.60,-32957.90,-31985.65
1775850849.737,-32891.60,-32957.90,-31985.65
1775850849.753,-32891.60,-32957.90,-31985.65
1775850849.758,-32891.60,-32957.90,-31985.65
1775850849.784,-32891.60,-32957.90,-31985.65
1775850849.801,-32891.60,-32957.90,-31985.65
1775850849.815,-32891.60,-32957.90,-31985.65
1775850849.830,-32891.60,-32957.90,-31985.65
1775850849.839,-32891.60,-32957.90,-31985.65
1775850849.847,-32891.60,-32957.90,-31985.65
1775850849.885,-32891.60,-32957.90,-31985.65
1775850849.899,-32891.60,-32957.90,-31985.65
1775850849.911,-32891.60,-32957.90,-31985.65
1775850849.926,-32891.60,-32957.90,-31985.65
1775850849.926,-32891.60,-32957.90,-31985.65
1775850849.962,-32891.60,-32957.90,-31985.65
1775850849.974,-32891.60,-32957.90,-31985.65
1775850849.992,-32891.60,-32957.90,-31985.65
1775850850.017,-32891.60,-32957.90,-31985.65
1775850850.031,-32891.60,-32957.90,-31985.65
1775850850.044,-32891.60,-32957.90,-31985.65
1775850850.054,-32891.60,-32957.90,-31985.65
1775850850.073,-32891.60,-32957.90,-31985.65
1775850850.085,-32891.60,-32957.90,-31985.65
1775850850.101,-32891.60,-32957.90,-31985.65
1775850850.105,-32891.60,-32957.90,-31985.65
1775850850.136,-32891.60,-32957.90,-31985.65
1775850850.149,-32891.60,-32957.90,-31985.65
1775850850.167,-32891.60,-32957.90,-31985.65
1775850850.181,-32891.60,-32957.90,-31985.65
1775850850.198,-32891.60,-32957.90,-31985.65
1775850850.212,-32891.60,-32957.90,-31985.65
1775850850.225,-32891.60,-32957.90,-31985.65
1775850850.230,-32891.60,-32957.90,-31985.65
1775850850.250,-32891.60,-32957.90,-31985.65
1775850850.277,-32891.60,-32957.90,-31985.65
1775850850.292,-32891.60,-32957.90,-31985.65
1775850850.311,-32891.60,-32957.90,-31985.65
1775850850.325,-32891.60,-32957.90,-31985.65
1775850850.339,-32891.60,-32957.90,-31985.65
1775850850.353,-32891.60,-32957.90,-31985.65
1775850850.357,-32891.60,-32957.90,-31985.65
1775850850.388,-32891.60,-32957.90,-31985.65
1775850850.403,-32891.60,-32957.90,-31985.65
1775850850.404,-32891.60,-32957.90,-31985.65
